pl_name,hostname,sy_dist,pl_rade,pl_masse,pl_orbper,pl_orbsmax,pl_eqt,st_teff,st_lum,st_rad,st_mass,st_age,st_spectype,discoverymethod,disc_year,pl_controv_flag
Kepler-57 b,Kepler-57,644.14000000,3.13500000,2.50600000000000e+01,5.72000000000,0.0598800000,850.00,5187.90,-0.34241,0.826000,0.859000,3.3100,,Transit,2012,0
Kepler-461 b,Kepler-461,692.15800000,2.58000000,,8.31378305900,0.0789500000,886.00,5634.00,0.24622,0.910000,0.980000,2.5100,,Transit,2016,0
HD 24085 b,HD 24085,54.90040000,3.46000000,,2.04550000000,0.0340000000,,6034.00,0.37712,1.412551,1.220000,,G0 V,Radial Velocity,2019,0
Kepler-1843 b,Kepler-1843,784.62500000,2.70909809,,25.54339981000,0.1787100000,772.00,5422.00,0.39400,1.782000,1.020000,6.1700,,Transit,2021,0
Kepler-1184 b,Kepler-1184,1157.84000000,2.68000000,,53.59910440000,0.2863000000,529.00,5983.00,0.06532,1.070000,1.050000,3.5500,,Transit,2016,0
TOI-1860 b,TOI-1860,45.86400000,1.31000000,,1.06621070000,0.0204000000,1885.00,5752.00,-0.09475,0.940000,0.990000,0.1330,G V,Transit,2022,0
TOI-2260 b,TOI-2260,101.25100000,1.62000000,,0.35247280000,0.0097000000,2609.00,5534.00,-0.19851,0.940000,0.990000,0.3210,G V,Transit,2022,0
Kepler-1018 b,Kepler-1018,1010.01000000,2.58000000,,49.10135140000,0.2530000000,498.00,5518.00,-0.08221,0.880000,0.910000,4.4700,,Transit,2016,0
HD 69830 c,HD 69830,12.55910000,3.46000000,,31.56000000000,0.1860000000,,5385.00,-0.22000,0.886947,0.860000,7.0000,K0V,Radial Velocity,2006,0
HD 10647 b,HD 10647,17.33570000,13.80000000,,989.20000000000,2.0150000000,,6218.00,0.14900,1.100000,1.110000,1.4000,F9 V,Radial Velocity,2006,0
HD 219134 b,HD 219134,6.53127000,1.60200000,4.74000000000000e+00,3.09292600000,0.0387600000,1015.00,4699.00,-0.57741,0.778000,0.810000,11.0000,K3 V,Radial Velocity,2015,0
TOI-2092 b,TOI-2092,176.75900000,2.94892961,,4.30325528074,,1042.00,5842.06,-0.04981,1.051900,0.956000,,,Transit,2026,0
Proxima Cen b,Proxima Cen,1.30119000,1.02000000,,11.18465000000,0.0484800000,218.00,2900.00,-2.82102,0.141000,0.122100,,M5.5 V,Radial Velocity,2016,0
HD 104067 c,HD 104067,20.36320000,3.69000000,,13.89920000000,0.1058000000,,4952.00,-0.51256,0.780000,0.820000,4.3300,K2V,Radial Velocity,2024,0
HATS-2 b,HATS-2,341.92500000,12.57647635,4.35424917590000e+02,1.35413379000,0.0231700000,1550.00,5227.00,-0.26800,0.876000,0.904000,7.2000,K,Transit,2013,0
TOI-782 b,TOI-782,52.51220000,2.73400000,1.91000000000000e+01,8.02400150000,0.0578000000,435.00,3370.00,-1.70246,0.413000,0.397000,,,Transit,2024,0
K2-250 b,K2-250,414.70800000,2.71257333,,4.01392000000,0.0460600000,1003.00,5003.00,-0.44491,0.797000,0.809000,8.2000,,Transit,2018,0
Kepler-1852 b,Kepler-1852,772.48100000,1.88610592,,7.97094011300,0.0762000000,760.00,5237.00,-0.43168,0.826000,0.927000,8.6000,,Transit,2021,0
